id,country,continent,capital
0,Afghanistan,Asia,Kabul,[Kabul,Kandahar,Herat,Mazar-i-Sharif]
1,Albania,Europe,Tirana,[Tirana,Durres,Vlore,Shkoder]
2,Algeria,Africa,Algiers,[Algiers,Oran,Constantine,Annaba]
3,Andorra,Europe,Andorra la Vella,[Andorra la Vella,Escaldes-Engordany,Encamp,La Massana]
4,Angola,Africa,Luanda,[Luanda,Huambo,Lobito,Benguela]
5,Antigua and Barbuda,North America,Saint John's,[Saint John's,All Saints,Liberta,Carlisle]
6,Argentina,South America,Buenos Aires,[Buenos Aires,Cordoba,Rosario,Mendoza]
7,Armenia,Asia,Yerevan,[Yerevan,Gyumri,Vanadzor,Echmiadzin]
8,Australia,Oceania,Canberra,[Canberra,Sydney,Melbourne,Brisbane]
9,Austria,Europe,Vienna,[Vienna,Graz,Linz,Salzburg]
10,Azerbaijan,Asia,Baku,[Baku,Ganja,Sumqayit,Mingachevir]
11,Bahamas,North America,Nassau,[Nassau,Freeport,West End,Cooper's Town]
12,Bahrain,Asia,Manama,[Manama,Riffa,Muharraq,Hamad Town]
13,Bangladesh,Asia,Dhaka,[Dhaka,Chittagong,Khulna,Rajshahi]
14,Barbados,North America,Bridgetown,[Bridgetown,Holetown,Speightstown,Oistins]
15,Belarus,Europe,Minsk,[Minsk,Gomel,Mogilev,Vitebsk]
16,Belgium,Europe,Brussels,[Brussels,Antwerp,Ghent,Charleroi]
17,Belize,North America,Belmopan,[Belmopan,Belize City,San Ignacio,Orange Walk]
18,Benin,Africa,Porto-Novo,[Porto-Novo,Cotonou,Djougou,Parakou]
19,Bhutan,Asia,Thimphu,[Thimphu,Phuntsholing,Gelephu,Paro]
20,Bolivia,South America,Sucre,[Sucre,La Paz,Cochabamba,Santa Cruz de la Sierra]
21,Bosnia and Herzegovina,Europe,Sarajevo,[Sarajevo,Banja Luka,Tuzla,Mostar]
22,Botswana,Africa,Gaborone,[Gaborone,Francistown,Molepolole,Serowe]
23,Brazil,South America,Brasília,[Brasília,Rio de Janeiro,São Paulo,Salvador]
24,Brunei,Asia,Bandar Seri Begawan,[Bandar Seri Begawan,Kuala Belait,Seria,Tutong]
25,Bulgaria,Europe,Sofia,[Sofia,Plovdiv,Varna,Burgas]
26,Burkina Faso,Africa,Ouagadougou,[Ouagadougou,Bobo-Dioulasso,Koudougou,Ouahigouya]
27,Burundi,Africa,Gitega,[Gitega,Bujumbura,Muyinga,Ngozi]
28,Cabo Verde,Africa,Praia,[Praia,Mindelo,Assomada,Porto Novo]
29,Cambodia,Asia,Phnom Penh,[Phnom Penh,Siem Reap,Battambang,Kampong Cham]
30,Cameroon,Africa,Yaoundé,[Yaoundé,Douala,Bamenda,Garoua]
31,Canada,North America,Ottawa,[Ottawa,Toronto,Montreal,Vancouver]
32,Central African Republic,Africa,Bangui,[Bangui,Bimbo,Mbaïki,Berbérati]
33,Chad,Africa,N'Djamena,[N'Djamena,Moundou,Sarh,Abéché]
34,Chile,South America,Santiago,[Santiago,Valparaíso,Concepción,Puerto Montt]
35,China,Asia,Beijing,[Beijing,Shanghai,Guangzhou,Shenzhen]
36,Colombia,South America,Bogotá,[Bogotá,Medellín,Cali,Barranquilla]
37,Comoros,Africa,Moroni,[Moroni,Mutsamudu,Fomboni,Sima]
38,Congo (Congo-Brazzaville),Africa,Brazzaville,[Brazzaville,Pointe-Noire,Loubomo,Nkayi]
39,Costa Rica,North America,San José,[San José,Limón,Cartago,Alajuela]
40,Croatia,Europe,Zagreb,[Zagreb,Split,Rijeka,Osijek]
41,Cuba,North America,Havana,[Havana,Santiago de Cuba,Camagüey,Holguín]
42,Cyprus,Asia,Nicosia,[Nicosia,Limassol,Larnaca,Famagusta]
43,Czechia (Czech Republic),Europe,Prague,[Prague,Brno,Ostrava,Plzeň]
44,Democratic Republic of the Congo,Africa,Kinshasa,[Kinshasa,Lubumbashi,Mbuji-Mayi,Kananga]
45,Denmark,Europe,Copenhagen,[Copenhagen,Aarhus,Odense,Aalborg]
46,Djibouti,Africa,Djibouti City,[Djibouti City,Ali Sabieh,Dikhil,Tadjoura]
47,Dominica,North America,Roseau,[Roseau,Portsmouth,Marigot,Berekua]
48,Dominican Republic,North America,Santo Domingo,[Santo Domingo,Santiago,La Romana,San Pedro de Macorís]
49,Ecuador,South America,Quito,[Quito,Guayaquil,Cuenca,Ambato]
50,Egypt,Africa,Cairo,[Cairo,Alexandria,Giza,Shubra El-Kheima]
51,El Salvador,North America,San Salvador,[San Salvador,Santa Ana,San Miguel,La Libertad]
52,Equatorial Guinea,Africa,Malabo,[Malabo,Bata,Ebebiyin,Luba]
53,Eritrea,Africa,Asmara,[Asmara,Keren,Massawa,Assab]
54,Estonia,Europe,Tallinn,[Tallinn,Tartu,Narva,Pärnu]
55,Eswatini (fmr. Swaziland),Africa,Mbabane,[Mbabane,Manzini,Lobamba,Big Bend]
56,Ethiopia,Africa,Addis Ababa,[Addis Ababa,Addis Zemen,Bahir Dar,Gondar]
57,Fiji,Oceania,Suva,[Suva,Nadi,Lautoka,Ba]
58,Finland,Europe,Helsinki,[Helsinki,Espoo,Tampere,Vantaa]
59,France,Europe,Paris,[Paris,Marseille,Lyon,Toulouse]
60,Gabon,Africa,Libreville,[Libreville,Port-Gentil,Oyem,Franceville]
61,Gambia,Africa,Banjul,[Banjul,Serekunda,Brikama,Bakau]
62,Georgia,Asia,Tbilisi,[Tbilisi,Kutaisi,Batumi,Rustavi]
63,Germany,Europe,Berlin,[Berlin,Hamburg,Munich,Cologne]
64,Ghana,Africa,Accra,[Accra,Kumasi,Tamale,Sekondi-Takoradi]
65,Greece,Europe,Athens,[Athens,Thessaloniki,Patras,Heraklion]
66,Grenada,North America,St. George's,[St. George's,Gouyave,Hillsborough,Sauteurs]
67,Guatemala,North America,Guatemala City,[Guatemala City,Quetzaltenango,Escuintla,Villa Nueva]
68,Guinea,Africa,Conakry,[Conakry,Nzérékoré,Kindia,Kankan]
69,Guinea-Bissau,Africa,Bissau,[Bissau,Bafatá,Gabú,Canchungo]
70,Guyana,South America,Georgetown,[Georgetown,Linden,New Amsterdam,Bartica]
71,Haiti,North America,Port-au-Prince,[Port-au-Prince,Carrefour,Djacmèl,Désarmes]
72,Holy See,Europe,Vatican City,[Vatican City,Rome,Civitavecchia,Tivoli]
73,Honduras,North America,Tegucigalpa,[Tegucigalpa,San Pedro Sula,Choloma,La Ceiba]
74,Hungary,Europe,Budapest,[Budapest,Debrecen,Szeged,Miskolc]
75,Iceland,Europe,Reykjavik,[Reykjavik,Kópavogur,Hafnarfjörður,Akureyri]
76,India,Asia,New Delhi,[New Delhi,Mumbai,Chennai,Kolkata]
77,Indonesia,Asia,Jakarta,[Jakarta,Surabaya,Bandung,Medan]
78,Iran,Asia,Tehran,[Tehran,Mashhad,Isfahan,Karaj]
79,Iraq,Asia,Baghdad,[Baghdad,Mosul,Erbil,Basra]
80,Ireland,Europe,Dublin,[Dublin,Cork,Limerick,Galway]
81,Israel,Asia,Jerusalem,[Jerusalem,Tel Aviv,Haifa,Rishon LeZion]
82,Italy,Europe,Rome,[Rome,Milan,Naples,Turin]
83,Jamaica,North America,Kingston,[Kingston,Montego Bay,Savanna-la-Mar,Portmore]
84,Japan,Asia,Tokyo,[Tokyo,Yokohama,Osaka,Nagoya]
85,Jordan,Asia,Amman,[Amman,Zarqa,Irbid,Russeifa]
86,Kazakhstan,Asia,Nur-Sultan,[Nur-Sultan,Almaty,Shymkent,Karaganda]
87,Kenya,Africa,Nairobi,[Nairobi,Mombasa,Kisumu,Nakuru]
88,Kiribati,Oceania,South Tarawa,[South Tarawa,Bairiki,Bikenibeu,Betio]
89,Kuwait,Asia,Kuwait City,[Kuwait City,Al Ahmadi,Hawalli,As Salimiyah]
90,Kyrgyzstan,Asia,Bishkek,[Bishkek,Osh,Jalal-Abad,Karakol]
91,Laos,Asia,Vientiane,[Vientiane,Savannakhet,Pakse,Thakhek]
92,Latvia,Europe,Riga,[Riga,Daugavpils,Jelgava,Jūrmala]
93,Lebanon,Asia,Beirut,[Beirut,Tripoli,Sidon,Zahle]
94,Lesotho,Africa,Maseru,[Maseru,Teyateyaneng,Mafeteng,Hlotse]
95,Liberia,Africa,Monrovia,[Monrovia,Gbarnga,Kakata,Bensonville]
96,Libya,Africa,Tripoli,[Tripoli,Benghazi,Misratah,Tarhuna]
97,Liechtenstein,Europe,Vaduz,[Vaduz,Schaan,Triesen,Balzers]
98,Lithuania,Europe,Vilnius,[Vilnius,Kaunas,Klaipėda,Šiauliai]
99,Luxembourg,Europe,Luxembourg City,[Luxembourg City,Esch-sur-Alzette,Dudelange,Diekirch]
100,Madagascar,Africa,Antananarivo,[Antananarivo,Toamasina,Antsirabe,Fianarantsoa]
101,Malawi,Africa,Lilongwe,[Lilongwe,Blantyre,Mzuzu,Zomba]
102,Malaysia,Asia,Kuala Lumpur,[Kuala Lumpur,George Town,Johor Bahru,Kuching]
103,Maldives,Asia,Male,[Male,Hithadhoo,Fuvahmulah,Kulhudhuffushi]
104,Mali,Africa,Bamako,[Bamako,Sikasso,Mopti,Ségou]
